articleId,articleName,articleCode,cube,weightLbs,roomId,roomName,isActive,domestic,canada,international,local,carton,pbo,mattcp,bulky,crateFlag
1136,Picture 8,V280,0.0,0.0,74,Crates,True,True,False,True,True,False,False,False,False,True
1137,Picture 9,V281,0.0,0.0,74,Crates,True,True,False,True,True,False,False,False,False,True
1141,Plasma TV 1,V286,0.0,0.0,74,Crates,True,True,False,True,True,False,False,False,False,True
1142,Plasma TV 2,V287,0.0,0.0,74,Crates,True,True,False,True,True,False,False,False,False,True
1143,Plasma TV 3,V288,0.0,0.0,74,Crates,True,True,False,True,True,False,False,False,False,True
1198,Statue 1,V346,0.0,0.0,74,Crates,True,True,False,True,True,False,False,False,False,True
1199,Statue 2,V347,0.0,0.0,74,Crates,True,True,False,True,True,False,False,False,False,True
1200,Statue 3,V348,0.0,0.0,74,Crates,True,True,False,True,True,False,False,False,False,True
2,1.5 - PBO,P000,1.5,0.0,2,PBO,True,True,False,True,True,False,True,False,False,False
308,3.0 - PBO,P001,3.0,0.0,2,PBO,True,True,False,True,True,False,True,False,False,False
310,4.5 - PBO,P002,4.5,0.0,2,PBO,True,True,False,True,True,False,True,False,False,False
312,6.0 - PBO,P003,6.0,0.0,2,PBO,True,True,False,True,True,False,True,False,False,False
314,6.5 - PBO,P004,6.5,0.0,2,PBO,True,True,False,True,True,False,True,False,False,False
317,Book Carton - PBO,P005,7.0,0.0,2,PBO,True,True,False,True,True,False,True,False,False,False
341,Dish Pack - PBO,P008,10.0,0.0,2,PBO,True,True,False,True,True,False,True,False,False,False
384,Matt. Crib - PBO,P006,0.0,0.0,2,PBO,True,True,False,True,True,False,True,True,False,False
390,Matt. Double - PBO,P007,0.0,0.0,2,PBO,True,True,False,True,True,False,True,True,False,False
459,Matt. Q/K - PBO,P016,0.0,0.0,2,PBO,True,True,False,True,True,False,True,True,False,False
462,Matt. Q/K Split - PBO,P011,0.0,0.0,2,PBO,True,True,False,True,True,False,True,True,False,False
465,Matt. Single - PBO,P017,0.0,0.0,2,PBO,True,True,False,True,True,False,True,True,False,False
468,Mattress Cover - PBO,P013,0.0,0.0,2,PBO,True,True,False,True,True,False,True,False,False,False
470,Mirror Crt. - PBO,P014,3.0,0.0,2,PBO,True,True,False,True,True,False,True,False,False,False
1270,TV Carton - PBO,P020,15.0,0.0,2,PBO,True,True,False,True,True,False,True,False,False,False
1273,Wardrobe - PBO,P019,10.0,0.0,2,PBO,True,True,False,True,True,False,True,False,False,False
878,"Bar, Portable",V014,15.0,0.0,14,Barn,True,True,False,True,True,False,False,False,False,False
879,"Bar, Stool",V015,3.0,0.0,14,Barn,True,True,False,True,True,False,False,False,False,False
1202,"Stool, Bar",V350,3.0,0.0,14,Barn,True,True,False,True,True,False,False,False,False,False
866,2 Wheel Dollies,V001,0.0,0.0,71,Air,True,True,False,True,True,False,False,False,False,False
