tableName,id,name
SOURCE_NAME,175,Mortgage Referrals
SOURCE_NAME,176,Newspaper Advertisements
SOURCE_NAME,177,Other
SOURCE_NAME,178,Paid Search
SOURCE_NAME,179,Past Customers
SOURCE_NAME,180,Print Yellow Pages
SOURCE_NAME,181,Radio/TV
SOURCE_NAME,182,Realtor Leads
SOURCE_NAME,183,Sales Groups
SOURCE_NAME,184,Select Leads
SOURCE_NAME,185,Self Storage Facilities
SOURCE_NAME,186,Social Media
SOURCE_NAME,187,Telemarketing
SOURCE_NAME,188,Text Link Ads
SOURCE_NAME,189,Truck Signs
SOURCE_NAME,190,White Pages
DELIVERY_MODE,191,Air
DELIVERY_MODE,192,Road
DELIVERY_MODE,193,Sea
UQ_DISPOSITION,194,New
UQ_DISPOSITION,195,Fax/busy 
UQ_DISPOSITION,196,No answer
UQ_DISPOSITION,197,Left voicemail
UQ_DISPOSITION,198,Prefer call back
UQ_DISPOSITION,199,Do not call requested
UQ_DISPOSITION,200,Not interested
UQ_DISPOSITION,201,Wrong/disconnected #
UQ_DISPOSITION,202,Converted to qualified
SYNC_STATUS,203,Pending
SYNC_STATUS,204,Completed
SYNC_STATUS,205,Error
MR_MS,206,Dr.
MR_MS,207,Miss.
MR_MS,208,Mr.
MR_MS,209,Mrs.
MR_MS,210,Ms.
MR_MS,211,Prof.
SHORT_DAY_NAME,212,Fr
SHORT_DAY_NAME,213,Mo
SHORT_DAY_NAME,214,Sa
SHORT_DAY_NAME,215,Su
SHORT_DAY_NAME,216,Th
SHORT_DAY_NAME,217,Tu
SHORT_DAY_NAME,218,We
SHORT_MONTH_NAME,219,Apr
SHORT_MONTH_NAME ,220,Aug
SHORT_MONTH_NAME,221,Dec
SHORT_MONTH_NAME,222,Feb
SHORT_MONTH_NAME,223,Jan
SHORT_MONTH_NAME,224,Jul
SHORT_MONTH_NAME,225,Jun
SHORT_MONTH_NAME,226,Mar
SHORT_MONTH_NAME,227,May
SHORT_MONTH_NAME,228,Nov
SHORT_MONTH_NAME,229,Oct
SHORT_MONTH_NAME,230,Sep
AM_PM,231,am
AM_PM,232,pm
GENDER,233,Female
